ID,Start_time,End_time,Start_time_String,End_time_string,Item,Price,Normal Price,Diff.,Quantity,Quantity (in kg),Price per kg,Normal Price per kg
2947,1690961462,1690972200,2023-08-02 13:01:02,2023-08-02 16:00:00,Onion (Pyaaz),11,17,6,550 g,0.55,20.0,30.9090909090909
1071,1690961462,1690972200,2023-08-02 13:01:02,2023-08-02 16:00:00,Bhindi (Okra),18,24,6,500 g,0.5,36.0,48.0
980,1690961462,1690972200,2023-08-02 13:01:02,2023-08-02 16:00:00,Bottle Gourd - Long (Lauki),32,35,3,700 g,0.7,45.7142857142857,50.0
835,1690961462,1690972200,2023-08-02 13:01:02,2023-08-02 16:00:00,Cucumber - Hybrid (Kheera),22,23,1,700 g,0.7,31.4285714285714,32.8571428571429
996,1690961462,1690972200,2023-08-02 13:01:02,2023-08-02 16:00:00,Tomato - Desi (Tamatar),102,108,6,450 g,0.45,226.666666666667,240.0
1968,1690961462,1690972200,2023-08-02 13:01:02,2023-08-02 16:00:00,Pear - Indian (Nashpati),32,35,3,500 g,0.5,64.0,70.0
6580,1690961462,1690972200,2023-08-02 13:01:02,2023-08-02 16:00:00,Potato (Aloo),12,13,1,500 g,0.5,24.0,26.0
871,1690961462,1690972200,2023-08-02 13:01:02,2023-08-02 16:00:00,Sponge Gourd (Tori),30,33,3,600 g,0.6,50.0,55.0
5141,1690961462,1690972200,2023-08-02 13:01:02,2023-08-02 16:00:00,Banana - Medium,40,43,3,550 g,0.55,72.7272727272727,78.1818181818182
826,1690961462,1690972200,2023-08-02 13:01:02,2023-08-02 16:00:00,Carrot - Orange (Gajar),22,25,3,500 g,0.5,44.0,50.0
832,1690961462,1690972200,2023-08-02 13:01:02,2023-08-02 16:00:00,Bitter Gourd (Karela),27,30,3,500 g,0.5,54.0,60.0
3384,1690961462,1690972200,2023-08-02 13:01:02,2023-08-02 16:00:00,Tender Coconut,55,59,4,1 pc,1.0,55.0,59.0
798,1690961462,1690972200,2023-08-02 13:01:02,2023-08-02 16:00:00,Beans - French (Phali),34,40,6,250 g,0.25,136.0,160.0
931,1690961462,1690972200,2023-08-02 13:01:02,2023-08-02 16:00:00,Mango - Chausa (Carbide Free),126,129,3,1 kg,1.0,126.0,129.0
1503,1690961462,1690972200,2023-08-02 13:01:02,2023-08-02 16:00:00,Farm Tale Cow Milk,33,36,3,500 ml,0.5,66.0,72.0
1691,1690961462,1690972200,2023-08-02 13:01:02,2023-08-02 16:00:00,Farm Tale Buffalo Milk,42,45,3,500 ml,0.5,84.0,90.0
4505,1690961462,1690972200,2023-08-02 13:01:02,2023-08-02 16:00:00,Capsicum - Green (Shimla Mirch),66,68,2,400 g,0.4,165.0,170.0
1635,1690961462,1690972200,2023-08-02 13:01:02,2023-08-02 16:00:00,India Gate Mogra Basmati Rice,388,388,0,5 kg,5.0,77.6,77.6
5865,1690961462,1690972200,2023-08-02 13:01:02,2023-08-02 16:00:00,Bajaj S.K. Kadaknath Eggs,150,150,0,6 pcs,6.0,25.0,25.0
6234,1690961462,1690972200,2023-08-02 13:01:02,2023-08-02 16:00:00,Rajdhani Atta,399,399,0,10 kg,10.0,39.9,39.9
9015,1690961462,1690972200,2023-08-02 13:01:02,2023-08-02 16:00:00,Abhi Eggs Nutri+,65,65,0,6 pcs,6.0,10.8333333333333,10.8333333333333
835,1690972262,1690983000,2023-08-02 16:01:02,2023-08-02 19:00:00,Cucumber - Hybrid (Kheera),20,23,3,700 g,0.7,28.5714285714286,32.8571428571429
798,1690972262,1690983000,2023-08-02 16:01:02,2023-08-02 19:00:00,Beans - French (Phali),38,40,2,250 g,0.25,152.0,160.0
517,1690972262,1690983000,2023-08-02 16:01:02,2023-08-02 19:00:00,Ivy Gourd (Kundru),13,14,1,250 g,0.25,52.0,56.0
